"id","goalteam","changed_result","player_name","player_img","player_profile","status","time"
"1048","AT","0=1","Matt Holland","https://thumb.resfu.com/img_data/players/small/9409.jpg?size=37x&5","/jugador/2004/Matt-Holland","goal","8'"
"1048","HT","1=1","M. Kilgallon","https://thumb.resfu.com/img_data/players/small/127765.jpg?size=37x&5","/jugador/2004/M-Kilgallon-127765","goal","29'"
"1048","HT","2=1","J. Pennant","https://thumb.resfu.com/img_data/players/small/29373.jpg?size=37x&5","/jugador/2004/J-Pennant-29373","goal","41'"
"1048","HT","3=1","A. Smith","https://thumb.resfu.com/img_data/players/small/599.jpg?size=37x&5","/jugador/2004/A-Smith-599","goal","69'"
"1048","AT","3=2","J. Euell","https://thumb.resfu.com/img_data/players/small/535.jpg?size=37x&5","/jugador/2004/Jason-Joseph-Euell","goal","76'"
"1048","AT","3=3","J. Euell","https://thumb.resfu.com/img_data/players/small/535.jpg?size=37x&5","/jugador/2004/Jason-Joseph-Euell","goal","79'"
"1047","AT","0=1","Y. Djorkaeff","https://thumb.resfu.com/img_data/players/small/265055.jpg?size=37x&5","/jugador/2004/Djorkaeff-265055","goal","15'"
"1047","HT","1=1","Duncan Ferguson","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2004/Duncan-Ferguson","goal","68'"
"1047","AT","1=2","Y. Djorkaeff","https://thumb.resfu.com/img_data/players/small/265055.jpg?size=37x&5","/jugador/2004/Djorkaeff-265055","goal","87'"
"1053","HT","0=0","Kenny Cunningham","https://thumb.resfu.com/img_data/players/small/9526.jpg?size=37x&5","/jugador/2004/Kenny-Cunningham","redcard","0'"
"1053","AT","0=1","M. Owen","https://thumb.resfu.com/img_data/players/small/581.jpg?size=37x&5","/jugador/2004/M-Owen-581","goal","29'"
"1053","AT","0=2","E. Heskey","https://thumb.resfu.com/img_data/players/small/544.jpg?size=37x&5","/jugador/2004/E-Heskey-544","goal","51'"
"1053","AT","0=3","S. Gerrard","https://thumb.resfu.com/img_data/players/small/349.jpg?size=37x&5","/jugador/2004/S-Gerrard-349","goal","86'"
"1054","HT","1=0","L. Bowyer","https://thumb.resfu.com/img_data/players/small/291.jpg?size=37x&5","/jugador/2004/Lee-Bowyer","goal","38'"
"1054","AT","1=1","I. Ganea","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2004/Ioan-Viorel-Ganea","goal","70'"
"1055","AT","0=1","J. Reyes","https://thumb.resfu.com/img_data/players/small/21983.jpg?size=37x&5","/jugador/2004/J-Reyes-21983","goal","9'"
"1057","AT","0=1","Paul Dickov","https://thumb.resfu.com/img_data/players/small/9462.jpg?size=37x&5","/jugador/2004/Paul-Dickov","goal","26'"
"1057","HT","1=1","Thierry Henry","https://thumb.resfu.com/img_data/players/small/23567.jpg?size=37x&5","/jugador/2004/T-Henry-23567","goal","47'"
"1057","HT","2=1","P. Vieira","https://thumb.resfu.com/img_data/players/small/1174.jpg?size=37x&5","/jugador/2004/Patrick-Vieira","goal","66'"
"1065","HT","1=0","Yakubu Ayegbeni","https://thumb.resfu.com/img_data/players/small/9749.jpg?size=37x&5","/jugador/2004/Yakubu-Aiyegbeni","goal","4'"
"1065","HT","2=0","Yakubu Ayegbeni","https://thumb.resfu.com/img_data/players/small/9749.jpg?size=37x&5","/jugador/2004/Yakubu-Aiyegbeni","goal","14'"
"1065","AT","2=1","B. Zenden","https://thumb.resfu.com/img_data/players/small/258137.jpg?size=37x&5","/jugador/2004/Zenden-258137","goal","27'"
"1065","HT","3=1","Yakubu Ayegbeni","https://thumb.resfu.com/img_data/players/small/9749.jpg?size=37x&5","/jugador/2004/Yakubu-Aiyegbeni","goal","31'"
"1065","HT","4=1","Teddy Sheringham","https://thumb.resfu.com/img_data/players/small/9489.jpg?size=37x&5","/jugador/2004/Teddy-Sheringham","goal","80'"
"1065","HT","5=1","Yakubu Ayegbeni","https://thumb.resfu.com/img_data/players/small/9749.jpg?size=37x&5","/jugador/2004/Yakubu-Aiyegbeni","goal","83'"
"1064","HT","1=0","P. Wanchope","https://thumb.resfu.com/img_data/players/small/257747.jpg?size=37x&5","/jugador/2004/Wanchope-257747","goal","16'"
"1064","HT","2=0","P. Wanchope","https://thumb.resfu.com/img_data/players/small/257747.jpg?size=37x&5","/jugador/2004/Wanchope-257747","goal","30'"
"1064","HT","3=0","Nicolas Anelka","https://thumb.resfu.com/img_data/players/small/494.jpg?size=37x&5","/jugador/2004/N-Anelka-494","goal","41'"
"1064","AT","3=1","Kevin Campbell","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2004/Kevin-Campbell","goal","60'"
"1064","HT","4=1","Antoine Sibierski","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2004/Antoine-Sibierski","goal","89'"
"1064","HT","5=1","S. Wright-Phillips","https://thumb.resfu.com/img_data/players/small/482.jpg?size=37x&5","/jugador/2004/S-Wright-Phillips-482","goal","90'"
"1063","AT","0=1","Sh. Ameobi","https://thumb.resfu.com/img_data/players/small/492.jpg?size=37x&5","/jugador/2004/Sh-Ameobi-492","goal","25'"
"1063","HT","1=1","M. Owen","https://thumb.resfu.com/img_data/players/small/581.jpg?size=37x&5","/jugador/2004/M-Owen-581","goal","67'"
"1062","HT","1=0","J. Grnkjr","https://thumb.resfu.com/img_data/players/small/15063.jpg?size=37x&5","/jugador/2004/Jesper-Gronkj-Aelig-R-15063","goal","20'"
"1061","HT","1=0","J. Euell","https://thumb.resfu.com/img_data/players/small/535.jpg?size=37x&5","/jugador/2004/Jason-Joseph-Euell","goal","36'"
"1061","HT","2=0","C. Cole","https://thumb.resfu.com/img_data/players/small/517.jpg?size=37x&5","/jugador/2004/Caron-Cole","goal","53'"
"1061","AT","2=1","David Prutton","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2004/David-Prutton","goal","64'"
"1060","AT","0=1","B. Mcbride","https://thumb.resfu.com/img_data/players/small/568.jpg?size=37x&5","/jugador/2004/Brian-Mcbride","goal","45'"
"1060","AT","0=2","B. Mcbride","https://thumb.resfu.com/img_data/players/small/568.jpg?size=37x&5","/jugador/2004/Brian-Mcbride","goal","78'"
"1059","HT","1=0","Andrew Cole","https://thumb.resfu.com/img_data/players/small/9461.jpg?size=37x&5","/jugador/2004/Andy-Cole","goal","24'"
"1059","AT","1=1","S. John","https://thumb.resfu.com/img_data/players/small/550.jpg?size=37x&5","/jugador/2004/S-John-550","goal","83'"
"1058","AT","0=0","D. Fletcher","https://thumb.resfu.com/img_data/players/small/341.jpg?size=37x&5","/jugador/2004/D-Fletcher-341","yellowbeforredcard","0'"
"1058","AT","0=0","C. Ronaldo","https://thumb.resfu.com/img_data/players/small/28185.jpg?size=37x&5","/jugador/2004/C-Ronaldo-28185","yellowbeforredcard","0'"
"1058","AT","0=1","C. Ronaldo","https://thumb.resfu.com/img_data/players/small/28185.jpg?size=37x&5","/jugador/2004/C-Ronaldo-28185","goal","4'"
"1058","AT","0=2","R. Van Nistelrooy","https://thumb.resfu.com/img_data/players/small/57961.jpg?size=37x&5","/jugador/2004/R-Van-Nistelrooy-57961","goal","10'"
"1066","HT","0=0","Paul Ince","https://thumb.resfu.com/img_data/players/small/265246.jpg?size=37x&5","/jugador/2004/Ince-265246","yellowbeforredcard","0'"
"1066","AT","0=1","R. Keane","https://thumb.resfu.com/img_data/players/small/556.jpg?size=37x&5","/jugador/2004/R-Keane-556","goal","34'"
"1066","AT","0=2","J. Defoe","https://thumb.resfu.com/img_data/players/small/524.jpg?size=37x&5","/jugador/2004/J-Defoe-524","goal","57'"
"26884","AT","0=1","D. Ciss","https://thumb.resfu.com/img_data/players/small/709.jpg?size=37x&5","/jugador/2005/D-Cisse-709","goal","38'"
"26884","HT","1=1","J. Defoe","https://thumb.resfu.com/img_data/players/small/524.jpg?size=37x&5","/jugador/2005/J-Defoe-524","goal","71'"
"26885","HT","1=0","D. Vassell","https://thumb.resfu.com/img_data/players/small/608.jpg?size=37x&5","/jugador/2005/Darius-Vassell","goal","12'"
"26885","HT","2=0","C. Cole","https://thumb.resfu.com/img_data/players/small/517.jpg?size=37x&5","/jugador/2005/Caron-Cole","goal","34'"
"26888","HT","1=0","Robbie Fowler","https://thumb.resfu.com/img_data/players/small/9464.jpg?size=37x&5","/jugador/2005/Robbie-Fowler","goal","28'"
"26888","AT","1=1","C. John","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Collins-John","goal","56'"
"26887","HT","1=0","J. Okocha","https://thumb.resfu.com/img_data/players/small/9595.jpg?size=37x&5","/jugador/2005/Jay-Jay-Okocha","goal","11'"
"26887","HT","2=0","Henrik Pedersen","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Henrik-Pedersen","goal","30'"
"26887","HT","3=0","J. Okocha","https://thumb.resfu.com/img_data/players/small/9595.jpg?size=37x&5","/jugador/2005/Jay-Jay-Okocha","goal","59'"
"26887","AT","3=1","K. Lisbie","https://thumb.resfu.com/img_data/players/small/9475.jpg?size=37x&5","/jugador/2005/K-Lisbie-9475","goal","67'"
"26887","HT","4=1","Henrik Pedersen","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Henrik-Pedersen","goal","72'"
"26886","AT","0=1","Neil Clement","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Neil-Clement","goal","33'"
"26886","HT","1=1","Craig Short","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Craig-Short","goal","70'"
"26890","AT","0=1","R. Savage","https://thumb.resfu.com/img_data/players/small/452.jpg?size=37x&5","/jugador/2005/Robbie-Savage","goal","10'"
"26890","HT","1=1","David Unsworth","https://thumb.resfu.com/img_data/players/small/9382.jpg?size=37x&5","/jugador/2005/David-Unsworth","goal","16'"
"26889","HT","1=0","Darren Huckerby","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Darren-Huckerby","goal","16'"
"26889","AT","1=1","A. Johnson","https://thumb.resfu.com/img_data/players/small/551.jpg?size=37x&5","/jugador/2005/A-Johnson-551","goal","73'"
"26891","AT","0=1","C. Bellamy","https://thumb.resfu.com/img_data/players/small/500.jpg?size=37x&5","/jugador/2005/C-Bellamy-500","goal","14'"
"26891","HT","1=1","S. Downing","https://thumb.resfu.com/img_data/players/small/30542.jpg?size=37x&5","/jugador/2005/S-Downing-30542","goal","73'"
"26891","AT","1=2","A. Shearer","https://thumb.resfu.com/img_data/players/small/265441.jpg?size=37x&5","/jugador/2005/Shearer-265441","goal","83'"
"26891","HT","2=2","J. Hasselbaink","https://thumb.resfu.com/img_data/players/small/258278.jpg?size=37x&5","/jugador/2005/Hasselbaink-258278","goal","90'"
"26892","AT","0=1","D. Bergkamp","https://thumb.resfu.com/img_data/players/small/9612.jpg?size=37x&5","/jugador/2005/Dennis-Bergkamp","goal","23'"
"26892","AT","0=2","J. Reyes","https://thumb.resfu.com/img_data/players/small/21983.jpg?size=37x&5","/jugador/2005/J-Reyes-21983","goal","39'"
"26892","AT","0=3","F. Ljungberg","https://thumb.resfu.com/img_data/players/small/390.jpg?size=37x&5","/jugador/2005/Fredrik-Ljungberg","goal","54'"
"26892","HT","1=3","L. Carsley","https://thumb.resfu.com/img_data/players/small/299.jpg?size=37x&5","/jugador/2005/Lee-Carsley","goal","64'"
"26892","AT","1=4","Robert Pirs","https://thumb.resfu.com/img_data/players/small/7462.jpg?size=37x&5","/jugador/2005/Robert-Pires","goal","82'"
"26893","HT","1=0","E. Gudjohnsen","https://thumb.resfu.com/img_data/players/small/23566.jpg?size=37x&5","/jugador/2005/E-Gudjohnsen-23566","goal","15'"
"26894","HT","1=0","K. Phillips","https://thumb.resfu.com/img_data/players/small/9482.jpg?size=37x&5","/jugador/2005/K-Phillips-9482","goal","32'"
"26894","AT","1=1","B. Ferguson","https://thumb.resfu.com/img_data/players/small/3607.jpg?size=37x&5","/jugador/2005/B-Ferguson-3607","goal","50'"
"26894","AT","1=2","Paul Dickov","https://thumb.resfu.com/img_data/players/small/9462.jpg?size=37x&5","/jugador/2005/Paul-Dickov","goal","68'"
"26894","HT","2=2","A. Svensson","https://thumb.resfu.com/img_data/players/small/212355.jpg?size=37x&5","/jugador/2005/A-Svensson-212355","goal","74'"
"26894","HT","3=2","J. Beattie","https://thumb.resfu.com/img_data/players/small/9458.jpg?size=37x&5","/jugador/2005/James-Scott-Beattie","goal","90'"
"26896","HT","1=0","J. Euell","https://thumb.resfu.com/img_data/players/small/535.jpg?size=37x&5","/jugador/2005/Jason-Joseph-Euell","goal","23'"
